person_id,time,x,y
2,0,544.0354614257812,307.35498046875
5,0,647.8731689453125,287.9745788574219
7,0,666.8946533203125,280.8547668457031
8,0,476.88421630859375,252.39889526367188
9,0,505.8328857421875,287.2972412109375
10,0,526.2197265625,293.7943115234375
11,0,601.341552734375,300.4347839355469
12,0,586.8887939453125,282.8962707519531
13,0,633.9102783203125,233.5548095703125
14,0,504.558837890625,235.4528045654297
15,0,558.2049560546875,266.5265197753906
17,0,583.5784912109375,285.9158935546875
2,1,543.7408447265625,307.7315673828125
5,1,648.2178955078125,288.1746826171875
7,1,667.4080810546875,280.92327880859375
8,1,476.3863220214844,252.9956512451172
10,1,525.6035766601562,293.8575439453125
11,1,601.0743408203125,300.73736572265625
12,1,588.316650390625,281.5567932128906
13,1,633.8839111328125,233.53524780273438
14,1,504.26690673828125,235.7087860107422
15,1,557.9884033203125,268.1111755371094
2,2,543.031494140625,308.17083740234375
5,2,648.6011962890625,288.0013122558594
7,2,667.7689208984375,281.1980895996094
8,2,475.80914306640625,253.23049926757812
10,2,523.93701171875,292.98004150390625
11,2,600.7451782226562,301.1736755371094
12,2,588.4547119140625,281.3243103027344
13,2,633.45849609375,234.28836059570312
14,2,503.76361083984375,235.69659423828125
18,2,574.63671875,235.19338989257812
9,2,505.178955078125,286.82635498046875
2,3,543.01708984375,308.4024963378906
5,3,648.783203125,288.33721923828125
7,3,668.1075439453125,281.4576721191406
8,3,475.0740661621094,253.84469604492188
10,3,523.7896728515625,293.9168701171875
11,3,600.630126953125,301.5644836425781
12,3,588.249755859375,281.43988037109375
13,3,633.515380859375,234.41433715820312
14,3,503.296875,235.78662109375
18,3,574.6131591796875,235.6929168701172
9,3,504.78753662109375,287.4368896484375
2,4,542.6824340820312,308.57098388671875
5,4,648.837890625,289.48419189453125
7,4,668.693115234375,281.66571044921875
8,4,474.4003601074219,254.41326904296875
10,4,522.9783935546875,293.3382568359375
11,4,600.2574462890625,302.521240234375
12,4,587.8455810546875,282.2926330566406
13,4,633.237060546875,234.77130126953125
14,4,502.7122802734375,235.18031311035156
18,4,574.55419921875,236.07461547851562
9,4,504.31573486328125,288.29205322265625
19,4,600.1114501953125,302.9976806640625
20,4,631.950927734375,284.51470947265625
2,5,542.5518188476562,308.97967529296875
5,5,648.8953247070312,290.63299560546875
7,5,669.2203979492188,282.1136474609375
8,5,473.7882080078125,255.24270629882812
10,5,522.49658203125,294.7452392578125
11,5,599.910888671875,303.7149658203125
12,5,587.4652709960938,282.7610778808594
13,5,633.0862426757812,234.7708740234375
14,5,501.9403381347656,235.25701904296875
18,5,574.36376953125,236.42254638671875
9,5,503.4740905761719,288.32586669921875
19,5,599.6590576171875,303.44384765625
20,5,632.191650390625,284.103515625
2,6,542.2648315429688,309.69940185546875
5,6,649.0516357421875,291.71173095703125
7,6,669.4719848632812,282.4763488769531
8,6,473.05462646484375,255.41448974609375
10,6,522.115234375,295.10369873046875
11,6,599.4404296875,304.923828125
12,6,586.8992919921875,283.51947021484375
13,6,632.8872680664062,234.3427276611328
14,6,501.1887512207031,240.71517944335938
18,6,573.7996826171875,236.8909454345703
9,6,502.7483825683594,289.0505065917969
19,6,599.2061767578125,304.32330322265625
2,7,541.7608032226562,310.17242431640625
5,7,649.3837890625,292.2926330566406
7,7,669.7214965820312,282.86474609375
8,7,472.40435791015625,255.86959838867188
10,7,519.5409545898438,294.2919921875
11,7,599.1199340820312,305.65399169921875
12,7,586.0176391601562,284.3114318847656
13,7,632.7262573242188,234.47122192382812
14,7,500.5160217285156,242.05679321289062
18,7,573.2464599609375,237.8032684326172
9,7,501.7325439453125,274.96954345703125
19,7,599.0009765625,305.0694274902344
17,7,582.28564453125,286.6304016113281
2,8,541.1949462890625,310.3412780761719
5,8,649.5892333984375,292.59893798828125
7,8,670.0511474609375,283.39190673828125
8,8,471.7290954589844,256.0433349609375
10,8,518.7962646484375,294.252197265625
11,8,598.811767578125,306.42529296875
12,8,586.4034423828125,284.7748107910156
13,8,632.589111328125,234.40985107421875
14,8,499.65533447265625,242.12759399414062
18,8,572.302978515625,238.9426727294922
9,8,500.97088623046875,270.2735595703125
17,8,582.3153686523438,287.0195007324219
2,9,540.436767578125,310.33929443359375
5,9,649.6671142578125,292.9132080078125
7,9,670.2171630859375,283.6452331542969
8,9,471.1114196777344,256.2232666015625
10,9,518.776611328125,294.6474609375
11,9,598.7577514648438,307.2203369140625
12,9,586.2560424804688,285.33245849609375
13,9,632.2369384765625,235.23092651367188
14,9,498.9022216796875,240.91168212890625
18,9,571.467529296875,239.86143493652344
17,9,582.4774780273438,287.4880065917969
2,10,539.9044189453125,311.1217041015625
5,10,649.756103515625,292.9925842285156
7,10,670.425048828125,283.7010498046875
10,10,518.8999633789062,295.4163818359375
11,10,598.795166015625,306.99066162109375
12,10,584.8917846679688,286.4114990234375
13,10,631.9263916015625,235.46095275878906
14,10,498.37432861328125,240.5080108642578
18,10,570.988037109375,240.26882934570312
17,10,582.683349609375,288.2648010253906
23,10,500.4154968261719,290.9296875
2,11,539.50341796875,311.77435302734375
5,11,649.8919677734375,292.9759521484375
7,11,670.5567016601562,283.8959045410156
10,11,517.314697265625,297.35162353515625
11,11,598.54931640625,306.1745300292969
12,11,586.1124267578125,286.71295166015625
13,11,631.664794921875,235.56927490234375
14,11,498.0440368652344,240.64334106445312
18,11,570.7230224609375,240.26889038085938
17,11,582.8594970703125,288.65118408203125
23,11,499.96197509765625,293.48114013671875
2,12,539.5123901367188,312.37689208984375
5,12,650.091796875,293.06768798828125
7,12,670.3353271484375,284.7793884277344
10,12,516.737060546875,297.0140380859375
11,12,598.3712768554688,305.7477111816406
12,12,585.861083984375,287.3970947265625
13,12,631.4049682617188,235.6953125
14,12,497.7274169921875,240.51492309570312
18,12,570.6358032226562,240.44308471679688
17,12,583.0267333984375,291.9847717285156
23,12,499.4950866699219,294.6491394042969
2,13,538.6965942382812,312.4194641113281
5,13,650.3225708007812,292.98236083984375
7,13,669.9708251953125,285.1905212402344
10,13,516.374755859375,297.2406005859375
11,13,598.1031494140625,306.0861511230469
12,13,586.5648193359375,287.24652099609375
13,13,631.048828125,235.67724609375
14,13,497.4879455566406,240.67678833007812
18,13,570.40966796875,240.49703979492188
23,13,499.10076904296875,295.36016845703125
8,13,466.8981018066406,256.5681457519531
2,14,539.22900390625,312.61993408203125
5,14,650.5274658203125,292.95501708984375
7,14,669.6427001953125,285.264892578125
10,14,515.799560546875,297.46978759765625
11,14,597.8067016601562,306.3223571777344
12,14,585.2196655273438,288.02777099609375
13,14,631.08447265625,235.74664306640625
14,14,497.3203125,240.78060913085938
18,14,570.34619140625,240.39541625976562
23,14,498.4005126953125,295.3197326660156
8,14,465.2322082519531,256.5892333984375
17,14,583.0814208984375,293.7930908203125
2,15,539.3944091796875,312.3880615234375
5,15,650.7864990234375,293.188232421875
7,15,669.5357666015625,285.2481689453125
10,15,515.3780517578125,297.8592529296875
11,15,597.7898559570312,306.434326171875
12,15,585.9494018554688,287.6669921875
13,15,631.1690063476562,236.03607177734375
14,15,497.01763916015625,240.85610961914062
18,15,569.7340698242188,240.55108642578125
23,15,497.7913818359375,295.40850830078125
8,15,463.4053039550781,256.5785217285156
17,15,583.4638671875,293.88958740234375
2,16,539.4615478515625,312.90185546875
